,Unnamed: 0.1,Unnamed: 0,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,AGE,HEIGHT,WEIGHT,Home_Away
15,15.0,15.0,22024,1627759,22400316,"DEC 02, 2024",BOS vs. MIA,W,31,8,21,0.381,4,11,0.364,9,10,0.9,4,3,7,4,1,0,2,2,29,23,1,25.4,8.4,19.6,1.0,0.4,2.4,0.4444,34.4,8.8,24.73333333333333,BOS,1610612738,MIA,1610612748,110.5,110.1,118.5,117.4,G-F,28.0,78,223,1
16,16.0,16.0,22024,1627759,22400319,"DEC 04, 2024",BOS vs. DET,W,39,10,21,0.476,1,6,0.167,7,11,0.636,1,5,6,9,3,0,4,0,28,16,1,24.8,8.2,18.4,1.6,0.4,2.6,0.4582,34.8,11.2,25.0,BOS,1610612738,DET,1610612765,113.8,111.3,118.5,117.4,G-F,28.0,78,223,1
17,17.0,17.0,22024,1627759,22400335,"DEC 06, 2024",BOS vs. MIL,W,34,10,21,0.476,3,9,0.333,2,2,1.0,1,2,3,3,0,1,1,3,25,5,1,24.0,8.2,19.0,1.4,0.4,2.6,0.4422,34.4,12.4,25.176470588235293,BOS,1610612738,MIL,1610612749,111.0,109.0,118.5,117.4,G-F,28.0,78,223,1
18,18.0,18.0,22024,1627759,22400345,"DEC 07, 2024",BOS vs. MEM,L,35,10,14,0.714,2,3,0.667,0,1,0.0,1,2,3,6,1,0,5,3,22,-17,1,25.0,9.0,19.6,1.0,0.2,3.0,0.476,35.2,6.8,25.166666666666668,BOS,1610612738,MEM,1610612763,114.7,106.1,118.5,117.4,G-F,28.0,78,223,1
19,19.0,19.0,22024,1627759,22401205,"DEC 12, 2024",BOS vs. DET,W,30,6,12,0.5,1,2,0.5,1,1,1.0,1,8,9,6,1,0,4,1,14,30,1,23.6,8.8,17.8,1.2,0.2,3.2,0.5094,33.8,11.4,25.0,BOS,1610612738,DET,1610612765,113.8,111.3,118.5,117.4,G-F,28.0,78,223,1
20,20.0,20.0,22024,1627759,22401217,"DEC 15, 2024",BOS @ WAS,W,26,4,14,0.286,2,5,0.4,1,4,0.25,0,3,3,4,3,1,3,1,11,13,1,20.0,8.0,16.4,1.6,0.4,3.4,0.4904,32.8,9.4,24.45,BOS,1610612738,WAS,1610612764,122.2,116.5,118.5,117.4,G-F,28.0,78,223,0
21,21.0,21.0,22024,1627759,22400363,"DEC 19, 2024",BOS vs. CHI,L,36,7,17,0.412,1,8,0.125,4,5,0.8,1,2,3,4,1,0,3,1,19,-19,1,18.2,7.4,15.6,1.2,0.4,3.2,0.4775999999999999,32.2,2.4,23.80952380952381,BOS,1610612738,CHI,1610612741,121.0,113.2,118.5,117.4,G-F,28.0,78,223,1
22,22.0,22.0,22024,1627759,22400381,"DEC 21, 2024",BOS @ CHI,W,33,9,20,0.45,0,5,0.0,1,2,0.5,2,3,5,8,1,0,2,0,19,16,1,17.0,7.2,15.4,1.4,0.2,3.4,0.4724,32.0,4.6,23.59090909090909,BOS,1610612738,CHI,1610612741,121.0,113.2,118.5,117.4,G-F,28.0,78,223,0
23,23.0,23.0,22024,1627759,22400393,"DEC 23, 2024",BOS @ ORL,L,37,15,29,0.517,1,7,0.143,4,6,0.667,2,7,9,4,3,0,5,4,35,6,1,19.6,8.2,18.4,1.8,0.2,3.4,0.433,32.4,9.2,23.39130434782609,BOS,1610612738,ORL,1610612753,103.2,104.3,118.5,117.4,G-F,28.0,78,223,0
24,24.0,24.0,22024,1627759,22400407,"DEC 25, 2024",BOS vs. PHI,L,43,10,23,0.435,3,6,0.5,0,3,0.0,1,6,7,4,2,0,5,4,23,-1,1,21.4,9.0,20.6,2.0,0.2,3.6,0.42,35.0,3.0,23.875,BOS,1610612738,PHI,1610612755,110.7,110.2,118.5,117.4,G-F,28.0,78,223,1
25,25.0,25.0,22024,1627759,22400420,"DEC 27, 2024",BOS vs. IND,W,37,16,24,0.667,6,11,0.545,6,6,1.0,3,2,5,3,4,0,1,0,44,30,1,28.0,11.4,22.6,2.2,0.0,3.2,0.4962,37.2,6.4,23.84,BOS,1610612738,IND,1610612754,116.1,113.4,118.5,117.4,G-F,28.0,78,223,1
26,26.0,26.0,22024,1627759,22400437,"DEC 29, 2024",BOS vs. IND,L,36,13,21,0.619,2,6,0.333,3,5,0.6,0,4,4,6,1,0,2,3,31,-10,1,30.4,12.6,23.4,2.2,0.0,3.0,0.5376000000000001,37.2,8.2,24.615384615384617,BOS,1610612738,IND,1610612754,116.1,113.4,118.5,117.4,G-F,28.0,78,223,1
27,27.0,27.0,22024,1627759,22400449,"DEC 31, 2024",BOS vs. TOR,W,25,6,13,0.462,0,2,0.0,0,0,0.0,5,4,9,3,1,0,3,1,12,11,1,29.0,12.0,22.0,2.2,0.0,3.2,0.54,35.6,7.2,24.85185185185185,BOS,1610612738,TOR,1610612761,119.0,115.1,118.5,117.4,G-F,28.0,78,223,1
28,28.0,28.0,22024,1627759,22400487,"JAN 05, 2025",BOS @ OKC,L,40,8,19,0.421,1,6,0.167,4,4,1.0,0,4,4,3,1,1,3,2,21,-7,1,26.2,10.6,20.0,1.8,0.2,2.8,0.5208,36.2,4.6,24.392857142857142,BOS,1610612738,OKC,1610612760,103.0,100.7,118.5,117.4,G-F,28.0,78,223,0
29,29.0,29.0,22024,1627759,22400507,"JAN 07, 2025",BOS @ DEN,,7,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,0,4,0,21.6,8.6,15.4,1.4,0.2,2.0,0.4338,29.0,5.6,24.27586206896552,BOS,1610612738,DEN,1610612743,117.2,111.3,118.5,117.4,G-F,28.0,78,223,0
